gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Rating
female,group B,bachelor's degree,standard,none,72,72,50,Not good
female,group C,dsvcsdv,standard,completed,69,90,88,Very good
aaaa,group B,master's degree,standard,none,90,95,93,Excellent
male,group A,associate's degree,free/reduced,none,47,57,44,Acceptance
male,group C,some college,standard,none,76,78,75,Good
female,group B,associate's degree,standard,none,71,83,78,Good
female,group B,some college,standard,completed,88,95,92,Excellent
male,group B,some college,free/reduced,none,40,43,39,Fail
male,group D,high school,free/reduced,completed,64,64,67,Not good
female,group B,high school,free/reduced,none,38,60,50,Acceptance
male,group C,associate's degree,standard,none,58,54,,
male,group D,associate's degree,standard,none,40,52,43,Fail
female,group B,high school,standard,none,65,81,73,Good
male,group A,some college,standard,completed,78,72,70,Good
female,group A,master's degree,standard,none,50,53,58,Acceptance
female,group C,some high school,standard,none,69,75,78,Good
male,group C,,standard,,88,89,86,Very good
female,group B,some high school,free/reduced,none,18,32,28,Fail
male,group C,master's degree,free/reduced,completed,46,42,46,Fail
female,group C,associate's degree,free/reduced,none,54,58,61,Acceptance
male,group D,high school,standard,none,66,69,63,Not good
female,group B,some college,free/reduced,completed,65,75,70,Good
male,group D,some college,standard,none,44,54,53,Acceptance
female,group C,,standard,none,69,73,73,Good
male,group D,bachelor's degree,free/reduced,completed,74,71,80,Good
male,group A,master's degree,free/reduced,none,73,74,72,Good
male,group B,some college,standard,none,69,54,40,Acceptance
female,group C,bachelor's degree,standard,,67,69,75,Good
male,group C,high school,standard,none,70,70,65,Not good
female,group D,master's degree,standard,none,62,70,75,Not good
female,group D,some college,standard,none,69,74,74,Good
female,group B,some college,standard,none,63,65,61,Not good
female,group E,master's degree,free/reduced,svs,56,72,65,Not good
male,group D,some college,standard,vsv,40,42,38,Fail
male,group E,some college,standard,none,97,87,82,Very good
male,group E,associate's degree,standard,completed,81,81,79,Very good
female,group D,associate's degree,standard,none,74,81,83,Very good
female,group D,some high school,free/reduced,none,50,64,59,Acceptance
female,group D,associate's degree,free/reduced,completed,75,90,88,Very good
male,group B,associate's degree,free/reduced,none,57,56,57,Acceptance
male,group C,associate's degree,free/reduced,none,55,61,54,Acceptance
female,group C,associate's degree,standard,none,58,73,68,Not good
female,group B,associate's degree,standard,none,53,58,65,Acceptance
male,group B,some college,free/reduced,completed,59,65,66,Not good
female,group E,associate's degree,free/reduced,none,50,56,54,Acceptance
male,group B,associate's degree,standard,none,65,54,57,Acceptance
female,group A,associate's degree,standard,completed,55,65,62,Not good
female,group C,high school,standard,none,66,71,76,Good
female,group D,associate's degree,free/reduced,completed,57,74,76,Not good
male,group C,high school,standard,completed,82,84,82,Very good
male,group E,some college,standard,none,53,55,48,Acceptance
male,group E,associate's degree,free/reduced,completed,77,69,68,Good
male,group C,some college,standard,none,53,44,42,Fail
male,group D,high school,standard,none,88,78,40,Not good
female,group C,some high school,free/reduced,completed,71,84,87,Very good
female,group C,,free/reduced,none,33,41,43,Fail
female,group E,associate's degree,standard,,82,85,86,Very good
male,group D,associate's degree,standard,none,52,55,49,Acceptance
male,group D,some college,standard,completed,58,59,58,Acceptance
female,group C,some high school,free/reduced,none,0,17,10,Fail
male,group E,bachelor's degree,free/reduced,completed,79,74,72,Good
male,group A,some high school,free/reduced,none,39,39,34,Fail
male,group A,associate's degree,free/reduced,none,62,61,55,Not good
female,group C,,standard,none,69,80,71,Good
female,group D,some high school,standard,none,59,58,59,Acceptance
male,group B,some high school,standard,none,67,64,61,Not good
male,group D,,free/reduced,none,45,37,37,Fail
female,group C,some college,standard,none,60,72,74,Not good
male,group B,associate's degree,free/reduced,none,61,58,56,Acceptance
female,group C,associate's degree,standard,none,39,64,57,Acceptance
female,group D,some college,free/reduced,completed,58,63,73,Not good
male,group D,some college,standard,completed,63,55,63,Not good
female,group A,associate's degree,free/reduced,none,41,51,48,Fail
male,group C,some high school,free/reduced,none,61,57,56,Acceptance
male,group C,some high school,standard,none,49,49,41,Fail
male,group B,associate's degree,free/reduced,none,44,41,40,Fail
male,group E,some high school,standard,none,30,26,22,Fail
male,group A,bachelor's degree,standard,completed,80,78,81,Very good
female,group D,some high school,standard,completed,61,74,72,Not good
female,group E,master's degree,standard,none,62,68,68,Not good
female,group B,associate's degree,standard,none,47,49,50,Fail
male,group B,high school,free/reduced,none,49,45,45,Fail
male,group A,some college,free/reduced,completed,50,47,54,Acceptance
male,group E,associate's degree,standard,none,72,64,63,Not good
male,group D,high school,free/reduced,none,42,39,34,Fail
female,group C,some college,standard,none,73,80,82,Good
female,group C,some college,free/reduced,none,76,83,88,Very good
female,group D,associate's degree,standard,none,71,71,74,Good
female,group A,some college,standard,none,58,70,67,Not good
female,group D,some high school,standard,none,73,86,82,Very good
female,group C,bachelor's degree,standard,none,65,72,74,Good
male,group C,high school,free/reduced,none,27,34,36,Fail
male,group C,high school,standard,none,71,79,71,Good
male,group C,associate's degree,free/reduced,completed,43,45,50,Fail
female,group B,some college,standard,none,79,86,92,Very good
